ONG,TÍTULO PROYECTO,TIPOLOGÍA,PAÍS,AÑO DE EJECUCIÓN,SUBVENCIÓN €
FAIPII,"Construcción, dotación y capacitación de formadores del centro educativo y comunicación popular Aymara.SaphiAru",Cooperación al Desarrollo,Bolivia,1998,"23.571,24"
Madreselva,Educativo sanitario de promoción social de la mujer y difusión del español,Cooperación al Desarrollo,Haití,1998,"243.888,26"
ESPAÑA CON ACNUR,Construcción de sistemas de agua potable a la reintegración de retornados de Malí,Cooperación al Desarrollo,Mali,1998,"297.135,88"
ASOCIACION MENSAJEROS DE LA PAZ,Programadecapacitaciónparalamejoradelaasostenciasanitariacomunitaria,Cooperación al Desarrollo,Kenia,1998,"143.953,25"
F.PadreArrupe,Formación integral en ciencia e ingeniería para El Salvador.Complemento para la construcción del edificio de laboratorios nº3 y obras,Cooperación al Desarrollo,El Salvador,1998,"348.587,02"
Acsur Las Segovias,"Mejora de las condiciones de salud de la población infantil de los departamentos de Usulután, San Vicente,Cuscatlán,La Paz y Cabañas",Cooperación al Desarrollo,El Salvador,1998,"286.973,53"
ENTRE CULTURAS - FE Y ALEGRIA,Mejora de la calidad educativa en centros escolares suburbanos mediante la puesta en marcha de 4 laboratorios de ciencias,Cooperación al Desarrollo,República Dominicana,1998,"59.672,49"
ENTRE CULTURAS - FE Y ALEGRIA,Programa de implementación del nuevo bachiller científico adaptado a la reforma educativa peruana,Cooperación al Desarrollo,Perú,1998,"251.124,50"
ENTRE CULTURAS - FE Y ALEGRIA,Programa de capacitación de docentes en áreas marginales de Ecuador,Cooperación al Desarrollo,Ecuador,1998,"38.128,21"
SOLIDARIOS PARA EL DESARROLLO,Centro piloto de medicina preventiva e nuniversidades de Africa,Cooperación al Desarrollo,AfricaEcuatorial,1998,"105.724,59"
FUNDACION HUMANISMO Y DEMOCRACIA,Mejora delascondiconeshigienicosanitariasymedioambientalesdelascomunidadesdelazonafronterizadelaRep.Dominicana,Cooperación al Desarrollo,República Dominicana,1998,"296.314,79"
CIDEAL,PlanintegraldeformaciónydesarrolloproductivoagroalimentariolideradopormujerescampesinasZapatoca,Cooperación al Desarrollo,Colombia,1998,"271.549,53"
"MPDL - MOVIMIENTO POR LA PAZ, EL DESARME Y LA LIBERTAD",Promoción del derecho a la vivienda para familias de bajos recursos en la periferia de Lima,Cooperación al Desarrollo,Perú,1998,"71.375,00"
"MPDL - MOVIMIENTO POR LA PAZ, EL DESARME Y LA LIBERTAD",Apoyo a centros de promoción femenina en Mauritania,Cooperación al Desarrollo,Mauritania,1998,"41.528,88"
ASAMBLEA DE MADRID DE CRUZ ROJA ESPAÑOLA,Dotación de unidades móviles hospitalarias enlaregióndeKolda,Cooperación al Desarrollo,Senegal,1998,"99.445,87"
ASAMBLEA DE MADRID DE CRUZ ROJA ESPAÑOLA,Diagnóstico porimágenes Cruz Roja Guatelmateca,Cooperación al Desarrollo,Guatemala,1998,"78.712,75"
ASAMBLEA DE MADRID DE CRUZ ROJA ESPAÑOLA,Fortalecimiento y desarrollo de un sistema de asistencia hospitalaria y de emergencias médicas,Cooperación al Desarrollo,Honduras,1998,"115.875,13"
FUNDACION CANOVAS DEL CASTILLO,Talleresdemacanicaautomotrizyrefrigeraciónindustrialparalaformaciónprofesionaldelapoblaciónjóvenyadultadeáreasmarginales,Cooperación al Desarrollo,Guatemala,1998,"213.557,49"
FUNDACION JUAN CIUDAD,Desarrollo de lasi nfraestructuras hospotalarias en la región de Sefwi-Asafo,Cooperación al Desarrollo,Ghana,1998,"102.172,06"
SODEPAZ. SOLIDARIDAD PARA EL DESARROLLO Y LA PAZ,"Desarrollo rural en Aremd,AltoAtlas, Marruecos mejora delai nfraestructura comunitario aeimpulso altejido asociativo",Cooperación al Desarrollo,Marruecos,1998,"24.852,51"
"OSPAAAL.ORGANIZACION SOLIDARIDAD PUEBLOS ASIA, AFRICA Y AMERICA LATINA",Materias primas para la producción de medicamentos en Cuba,Cooperación al Desarrollo,Cuba,1998,"44.900,32"
ARQUITECTOS SIN FRONTERAS-ASF-E,Educación sanitaria ambiental yconstrucción dedepósitos deagua potable endosasentamientos,Cooperación al Desarrollo,Perú,1998,"36.142,19"
MEDICOS SIN FRONTERAS,"Proyecto de salud urbana en ""el Carrizal""",Cooperación al Desarrollo,Honduras,1998,"60.101,21"
CONGREGACION RELIGIOSAS PUREZA DE MARIA.,Ayudaalenfermo,Cooperación al Desarrollo,Congo,1998,"37.688,42"
Pureza de Mª Sant.,Internado de chicos,Cooperación al Desarrollo,Africa Ecuatorial,1998,"253.930,83"
MedicusMundi,Educación sanitaria para las mujeres de Hay Ettadhamen,Cooperación al Desarrollo,Túnez,1998,"29.936,83"
Cia.H.CaridadS.Vic,Equipamiento del centro de salud de pompeya enT rinidad,Cooperación al Desarrollo,Bolivia,1998,"26.949,77"
ADRA,CERENID-Centro de rehabilitación integral para menores de la calle con problemas de toxicomanía,Cooperación al Desarrollo,Bolivia,1998,"91.123,87"
AYUDA EN ACCIÓN,Apoyo a la salud materno infantil:construcción de una maternidad en la Parroquia de Juan Montalbo.,Cooperación al Desarrollo,Ecuador,1998,"99.239,05"
IPADE,Proyecto de desarrollo agroforestal Douar Ferha,Cooperación al Desarrollo,Marruecos,1998,"48.799,57"
FAD,"2ª fase Desarrollo de programas de prevención escolar en barrios urbano marginales de las ciudades de Quito,Guayaquil y Cuenca",Cooperación al Desarrollo,Ecuador,1998,"74.972,50"
CARITAS MADRID,Mirancho 1998,Cooperación al Desarrollo,Bolivia,1998,"32.940,12"
BOMBEROS UNIDOS SIN FRONTERAS,Cursos de formación y colaboración técnico material,Cooperación al Desarrollo,Guatemala,1998,"81.359,92"
PUEBLOSENDESARROLLO(PUEDES),Red de centros de promoción social paral a mujer (RECEM),Cooperación al Desarrollo,Guatemala,1998,"68.504,29"
ASAJA,Microproyecto piloto deparicipación agroambiental enlacomunidades  de Mata deLimón y El Higo,Cooperación al Desarrollo,República Dominicana,1998,"41.947,74"
AIETI,Programa de comunicación educativa para niños y niñas del deparamento de Piura,Cooperación al Desarrollo,Perú,1998,"143.508,13"
AyudaMás,"Construcción de módulos básicos para vivienda-secto Madrid en el asentameinto humanoVilla San Luis,Pamplona Alta",Cooperación al Desarrollo,Perú,1998,"47.852,60"
Ecosol-sord,"Proyectode emergencia ""Reconstrucción de viviendas corrienteEl Niño""",Cooperación al Desarrollo,Perú,1998,"26.845,80"
IUVE,Proyecto de microempresas para mujeres de la comarca Lagunera,Cooperación al Desarrollo,México,1998,"47.888,64"
MisionerosAfrica,La familia para vencer el sida,Cooperación al Desarrollo,Burundi,1998,"60.101,21"
MÉDICOS DEL MUNDO,Atención a las mujeres inmigrantes que ejercen laprostitución,Sensibilización / Educación para el Desarrollo,Madrid,1998,"35.641,54"
MÉDICOS DEL MUNDO,Atenciónsociosanitariaypromociónparalasaludenelcolectivodeinmigrantes,Sensibilización / Educación para el Desarrollo,Madrid,1998,"41.255,56"
PROYECTO CULTURA Y SOLIDARIDAD,Integración socioeducativa y cultural de los colectivos inmigrantes en San Cristobal de los Angeles,Sensibilización / Educación para el Desarrollo,Madrid,1998,"14.078,71"
MERCEDARIOS PROVINCIA DE CASTILLA COMUNIDAD,Casaderefugiadoseinmigrantesmenoresyjóvenesnoacompañados,Sensibilización / Educación para el Desarrollo,Madrid,1998,"24.040,48"
COLEGIO M.INMACULADA DE MADRID- FRANCISCANAS DE LA PURÍSIMA CONCEPCIÓN,Mejorasocio-educativaparahijosdeinmigrantes,Sensibilización / Educación para el Desarrollo,Madrid,1998,"65.092,58"
APROSERS-ASOCIACIÓN DE PROMOCIÓN DE SERVICIOS SOCIALES,Hacia la integración proyecto socioeducativo para inmigrantes,Sensibilización / Educación para el Desarrollo,Madrid,1998,"126.212,54"
APRAMP PARA LA ATENCIÓN PREVENCIÓN Y REINSERCION MUJER PROSTITUIDA,UnidadmóvilafavordepersonasinmigrantesqueejercenlaprostituciónenelmunicipiodeMadrid,Sensibilización / Educación para el Desarrollo,Madrid,1998,"77.619,64"
FUNDACIÓN IBEROAMERICANA EUROPA- CIPIE,Programa deinformación orientación ybúsqueda activa de empleo para inigrantes,Sensibilización / Educación para el Desarrollo,Madrid,1998,"24.236,13"
KARIBU,Integración y ayuda humanitaria 1998,Sensibilización / Educación para el Desarrollo,Madrid,1998,"115.845,08"
ASAMBLEA DE MADRID DE CRUZ ROJA ESPAÑOLA,ApoyointegraciónsocialafamiliasinmigrantesasentadasenelmunicipiodeMadrid,Sensibilización / Educación para el Desarrollo,Madrid,1998,"37.422,02"
ASAMBLEA DE MADRID DE CRUZ ROJA ESPAÑOLA,Piso residencia para mujeres inmigrantes con cargas familiares no compartidas,Sensibilización / Educación para el Desarrollo,Madrid,1998,"30.449,03"
FUNDACIÓN ROSALIA RENDU,Integración de familias inmigrantes y otras en riesgo de exclusión social.Prevención y trabajo con menores pertenecientes a dichas familias,Sensibilización / Educación para el Desarrollo,Madrid,1998,"365.424,59"
CASAGENERALICIADAMASAPOSTÓLICASDELSAGRADOCORAZÓNDEJESÚSMADRID,Ayudaamujeresensituacióndeespecialdificultadsocialyeconómica,Sensibilización / Educación para el Desarrollo,Madrid,1998,"54.091,09"
PARROQUIADESANILDEFONSO,E.O.F.Cuartomundo,Sensibilización / Educación para el Desarrollo,Madrid,1998,"47.640,23"
CANDELITA,Integración socio-laboral de mujeres inmigrantes en el programa envejecer en casa,Sensibilización / Educación para el Desarrollo,Madrid,1998,"114.192,30"
H.CARIDADS.VICENTEPAULS.LMARILLACCOMEDORBENÉFICOM.INMACULADA,Creación de pisos de acogida.Comedor para personas excluidas sociaomenteensituacióndepobrezaseverayabsoluta,Sensibilización / Educación para el Desarrollo,Madrid,1998,"162.273,27"
H.CARIDADS.VICENTEPAULS.LMARILLACCOMEDORBENÉFICOM.INMACULADA,"Centro de día: atención, promoción e inserción social de inmigrantes.Centro de acogida: acogida y reinserción para enfermos psíquicos",Sensibilización / Educación para el Desarrollo,Madrid,1998,"132.222,66"
Área de Formación.,Formación ocupacional para el empleo:construcción,Sensibilización / Educación para el Desarrollo,Madrid,1998,"30.050,61"
ASOCIACIÓNPROMOCION AL EMPLEO Y DESARROLLO,Inserción laboral dirigido a inmigrantes en el Municipio de Mdrid,Sensibilización / Educación para el Desarrollo,Madrid,1998,"30.050,61"
ASOCIACIÓNPARALAINTEGRACIÓNDELMENORPAIDEIA,Centro lúdico paramenores queprovienen de otros países,Sensibilización / Educación para el Desarrollo,Madrid,1998,"6.010,12"
ASOCIACIÓNMUJERESOPAÑEL,Viviendas tuteladas para mujeres inmigrantes con cargas familiares no compartidas,Sensibilización / Educación para el Desarrollo,Madrid,1998,"51.086,03"
ASOCIACIÓN SEMILLA PARA LAI NTEGRACIÓN SOCIAL DEL JOVEN,Integración sociolaboral de jóvenes inmigrantes,Sensibilización / Educación para el Desarrollo,Madrid,1998,"22.907,43"
ASOCIACIÓN ARCO IRIS,Migra 98,Sensibilización / Educación para el Desarrollo,Madrid,1998,"48.080,97"
Albergue San Juan de Dios,Acción socia lpara inmigrantes en Madrid,Sensibilización / Educación para el Desarrollo,Madrid,1998,"30.050,61"
OrdenHospitalariadeS.JuandeD.-Hosp.S.Rafael,Intervención sanitaria con la infancia,Sensibilización / Educación para el Desarrollo,Madrid,1998,"36.060,73"
CentroCubano de España.,Programa de atención a inmigrantes y asiliados,Sensibilización / Educación para el Desarrollo,Madrid,1998,"30.050,61"
CESAL,Ayuda Humanitaria para damnificados del Fenómeno del Niño en Tumbes y Piura. Perú,Ayuda Humanitaria,PERÚ,1998,"35.200,52"
MÉDICOS DEL MUNDO,Control brote epidémico de malaria en Mangola Chini (Tanzania),Ayuda Humanitaria,TANZANIA,1998,"22.555,88"
COOPERACIÓN SOCIAL,"Reparación de daños ocasionados por el huracán Georges en la zona de Jarabacoa, República Dominicana",Ayuda Humanitaria,REP.DOMINICANA,1998,"21.815,06"
FUNDACIÓN ESPAÑOLA PARA LA COOPERACIÓN SOLIDARIDAD INTERNACIONAL,Ayuda humanitaria a la Población Refugiada Saharaui,Ayuda Humanitaria,ARGELIA,1998,"59.605,33"
FUNDACIÓN ESPAÑOLA PARA LA COOPERACIÓN SOLIDARIDAD INTERNACIONAL,"Ayuda de emergencia a la población del Cantón Daule, Ecuador",Ayuda Humanitaria,ECUADOR,1998,"24.016,14"
FUNDACIÓN CODESPA,Ayuda de emergencia a campesinos de la Costa Ecuatoriana afectados por El Niño,Ayuda Humanitaria,ECUADOR,1998,"30.050,61"
ACSUR LAS SEGOVIAS,Rehabilitación de Emergencia en beneficio de la población afectada por el fenómeno del Niño en tumbes (Perú),Ayuda Humanitaria,PERÚ,1998,"55.070,94"
ENTRECULTURAS - FE Y ALEGRÍA,Emergencia alimentaria en Malingas (Perú),Ayuda Humanitaria,PERÚ,1998,"57.986,65"
CRUZ ROJA ESPAÑOLA - COMUNIDAD DE MADRID,Adquisición de un sistema autónomo de potabilización de agua en Lima. Perú,Ayuda Humanitaria,PERÚ,1998,"68.034,57"
CRUZ ROJA ESPAÑOLA - COMUNIDAD DE MADRID,"Ayuda Humanitaria a Sudán bajo el lema de “Sudán, mañana puede ser tarde”",Ayuda Humanitaria,SUDÁN,1998,"18.030,36"
CRUZ ROJA ESPAÑOLA - COMUNIDAD DE MADRID,Actuación de Emergencia para la población afectada por el Huracán Mitch,Ayuda Humanitaria,CENTRO AMÉRICA,1998,"300.506,05"
NOUS CAMINS,"Prevención de epidemias de cólera y malaria debido a las inundaciones en la zona de Wema, distrito de Tana River en Kenia",Ayuda Humanitaria,KENIA,1998,"38.149,27"
MÉDICOS SIN FRONTERAS,"Actuación de emergencia para poblaciones rurales, afectadas por las inundaciones atribuidas al fenómeno de El Niño en Ecuador",Ayuda Humanitaria,ECUADOR,1998,"32.783,58"
MÉDICOS SIN FRONTERAS,Emergencia por la hambruna de Sudán,Ayuda Humanitaria,SUDÁN,1998,"42.521,61"
BOMBEROS UNIDOS SIN FRONTERAS,Programa de rescate y salvamento en beneficio de la población afectada por el huracán George en Santo domingo (República Dominicana),Ayuda Humanitaria,REP.DOMINICANA,1998,"34.171,96"
CÁRITAS ESPAÑOLA,Ayuda Humanitaria para poblaciones de la Provincia de Esmeraldas (Ecuador) afectadas por El Niño”,Ayuda Humanitaria,ECUADOR,1998,"57.096,15"
CÁRITAS ESPAÑOLA,Distribución de alimentos entre la población afectada por el conflicto bélico en Kinshasa (República Democrática del Congo),Ayuda Humanitaria,R.D.CONGO,1998,"36.060,73"
ACCIÓN CONTRA EL HAMBRE,Programa de urgencia a favor de los refugiados sierraleoneses en Guinea Conakry”,Ayuda Humanitaria,SIERRA LEONA,1998,"35.218,35"
FUNDACIÓN PAU I SOLIDARID CATALUNYA,Treinta autobuses de la E.M.T. para la Habana,Ayuda Humanitaria,CUBA,1998,"27.045,54"
HERMANAS DE LA ANUNCIACIÓN.,"Reparto de ayudas en Costa de Marfil, Nicaragua y Méjico",Ayuda Humanitaria,VARIOS,1998,"601,01"
AYUNTAMIENTO DE BADAJOZ,Ayuda de emergencia con motivo de la catástrofe producida por inundaciones,Ayuda Humanitaria,BADAJOZ,1998,"300.506,05"
ASOCIACIÓN RUBEN DARIO DE AMISTAD HISPANO-NICARAGÜENSE,"FORTALECIMIENTO A LA EXPLOTACIÓN ACUICOLA DE LA COOPERATIVA SAN MARTÍN,R.L.DE LA ISLA CAMPUSANO,CHINANDEGA, DAÑADO POR E LHURACÁN MITCH",Cooperación al Desarrollo,Nicaragua,1999,"22.269,30"
ASOCIACION POR LA PAZ Y EL DESARROLLO,IMPLANTACIÓN DE PROYECTOS PEDAGÓGICOS PRODUCTIVOS EN EL DEPARTAMENTO DEL VALLE DEL CAUCA,Cooperación al Desarrollo,Colombia,1999,"112.317,14"
MISIÓN AMERICA,CASA DE DESARROLLO RURAL SAN SEBASTIÁN. 2ª FASE,Cooperación al Desarrollo,Perú,1999,"126.168,49"
ISCOD-INSTITUTO SINDICAL DE COOPERACIÓN AL DESARROLLO,FOMENTO DE LA PRODUCCIÓN CAMPESINA EN AREAS DE POBREZA,Cooperación al Desarrollo,Perú,1999,"78.111,44"
CENTRO DE ESTUDIOS Y SOLIDARIDAD CON AMÉRICA LATINA(CESAL),PROGRAMA DE FORMACIÓN PROFESIONAL Y VOCACIONAL PARA JÓVENES COOPERATIVISTAS EN AREAS DE EXTREMA POBREZA .CHALATENANGO- ELSALVADOR-,Cooperación al Desarrollo,El Salvador,1999,"111.566,06"
CENTRO DE ESTUDIOS Y SOLIDARIDAD CON AMÉRICA LATINA(CESAL),CANALIZACIÓN Y TRATAMIENTO DE LAS AGUAS RESIDUALES DE TRES MUNICIPALIDADES DEL VALLED EL RÍOCHUMBAO,Cooperación al Desarrollo,Perú,1999,"192.157,65"
MEDICOS DEL MUNDO,APOYO A LA CONSOLIDACIÓN DEL SISTEMA DE SALUD EN EL VALLE DE MANGOLA CHINI,Cooperación al Desarrollo,Tanzania,1999,"210.294,75"
COOPERACIÓN SOCIAL,CENTRO DE ACCION ES SOCIALES EN KIMBOMDO.2ªFASE,Cooperación al Desarrollo,Congo,1999,"178.049,84"
COOPERACIÓN SOCIAL,DESARROLLO BÁSICO DE LA COMARCA DE JUMUNUCO.,Cooperación al Desarrollo,República Dominicana,1999,"67.916,81"
AMISTAD EUROPEA.PROYECTO SOLIDARIO (ONGD),APOYO A LA AMPLIACIÓN DEL CENTRO DE BACHILLERATO PEDAGÓGICO (MAESTRASRURALES)PARAMUJERESCAMPESINASINDÍGENAS,Cooperación al Desarrollo,Bolivia,1999,"51.283,82"
FEDERACION ESPAÑOLA DE RELIGIOSOS ENSEÑANZA. FERE,"II FASE :CONSTRUCCIÓN DE NUEVAS AULAS PARA E LBACHILLERATO DEL CENTRO CLARETENMALABO, GUINEAECUATORIAL",Cooperación al Desarrollo,GuineaEcuatorial,1999,"87.637,01"
FEDERACION ESPAÑOLA DE RELIGIOSOS ENSEÑANZA. FERE,ESCUELAS DE PROMOCIÓN DE LA MUJER EN LA CIUDAD DE AKONIBE Y ALREDEDORES,Cooperación al Desarrollo,GuineaEcuatorial,1999,"9.180,94"
FUNDACION ESPAÑOLA PARA LA COOPERACION. SOLIDARIDAD INTERNACIONAL,CONSTRUCCIÓNDE47VIVIENDASRURALESPARACOMUNIDADESAFECTADASPORELHURACÁNMITCH,Cooperación al Desarrollo,El Salvador,1999,"135.371,97"
LUMENDEI-PRODEIN,TALLER DE AUTOMOTORES PARA EL CENTRO DE EDUCACIÓN OCUPACIONAL CRISTORE Y EN LIMA.,Cooperación al Desarrollo,Perú,1999,"102.903,25"
FUNDACIÓN INTERED,EDUCACIÓN DE LOS JÓVENES DE LOS BARRIOS URBANO-MARGINALES DE KINSHASA,Cooperación al Desarrollo,Congo,1999,"104.275,60"
FUNDACIÓN INTERMON-OXFROM,DESARROLLO RURAL INTEGRAL EN LAS COMUNIDADES CAMPESINAS INDÍGENAS DE AMPARAES-LACCO.CUZCO-PERÚ,Cooperación al Desarrollo,Perú,1999,"454.365,15"
FUNDACIÓN CODESPA-FUTURO EN MARCHA,FORMACIÓN DE FONTANEROS HUMTECAÑO 1999,Cooperación al Desarrollo,Perú,1999,"133.353,12"
FUNDACIÓN CODESPA-FUTURO EN MARCHA,"CONSTRUCCIÓN DET ALLERES Y AULAS PARA EL CENTRO DE FORMACIÓN PROFESIONAL,CEOP SANTA MARÍA MADRESDEDIOS",Cooperación al Desarrollo,Perú,1999,"183.544,23"
ASAMBLEA DE COOPERACIÓN POR LA PAZ,AUTOCONSTRUCCION DE VIVIENDAS EN LAS COMUNIDADES DE NOLA Y KELEPARA POBLACIÓN AFECTADA POR EL HURACÁN MITCH (PROGRAMA HABITACIONAL GUAYACAN,Cooperación al Desarrollo,Honduras,1999,"156.391,90"
IEPALA.INST.DEESTUDIOSPOLÍTICOSPARAAMÉRICALATINAYÁFRICA,CENTRO PROMOCIÓN Y CAPACITACIÓN DE LA MUJERES DEPAUL,Cooperación al Desarrollo,CaboVerde,1999,"92.397,90"
ASOCIACIÓN PROY DE (PROMOCIÓN Y  DESARROLLO).,ALUMNOS DEL INSTITUTO POLITÉCNICO LA SALLE AFECTADOS POR EL HURACÁN MITCH,Cooperación al Desarrollo,Nicaragua,1999,"46.075,99"
FUNDACIÓN FUTURO SOLIDARIO,CAPACITACIÓNTÉCNICAPARAJÓVENESENSITUACIONESMARGINALES:AUTOFIRNANCIACIÓNDELINSTITUTODEPROFESIONALIZACIONAPIGUAQUI,Cooperación al Desarrollo,Bolivia,1999,"93.156,88"
FUNDACIÓNPAZYSOLIDARIDAD,REDDECOOPERATIVASDEAHORROYCRÉDITOPARAPEQUEÑOSYMEDIANOSPRODUCTORESRURALESASOCIADOS,Cooperación al Desarrollo,Nicaragua,1999,"311.025,69"
FUNDACIÓN CIPIE.CENTRO INVESTIGACIONES Y PROMOCIÓN IBEROAMERICA-EUROP,MEJORA DE LA ATENCIÓN SANITARIA Y EDUCATIVA EN EL BARRIO DE LOS MANGUITOS,Cooperación al Desarrollo,República Dominicana,1999,"144.505,42"
PROSALUS,"REHABILITACIÓN DE LOS PUEBLOS DEBATANES,SAUSAL, MARAYYFRANCO,AFECTADOS POR EL FENÓMENO EL NIÑO",Cooperación al Desarrollo,Perú,1999,"119.840,72"
JOVENES DEL TERCER MUNDO,"ALBERGUELAESPERANZA:CENTRODEACOGIDAPARALOSNIÑOSDELACÁRCELDEPALMASOLA,ENSANTACRUZDELASIERRA",Cooperación al Desarrollo,Bolivia,1999,"384.835,33"
VETERMON. VETERINARIOS SIN FRONTERAS,REINTRODUCCION DE LOS BUEYES DE TIRO PARA LOS TRABAJOSAGRÍCOLAS,Cooperación al Desarrollo,Uganda,1999,"68.633,73"
PAZ Y COOPERACIÓN,ATENCIÓN PREVENTIVA DE PROBLEMÁTICA DE NIÑOS EN ARES MARGINALES AFECTADAS PORELHURACÁNMITCHENGUATEMALA,Cooperación al Desarrollo,Guatemala,1999,"86.329,93"
COOPERACIÓN INTERNACIONAL,"TALLERES DE LA INFANCIA EN CAYO HUESO Y GRANJA ESCUELA""LA MARIANITA"".LAHABANA",Cooperación al Desarrollo,Cuba,1999,"295.703,04"
PAZ Y TERCER MUNDO,REHABILITACIÓN DE COMUNIDADES AFECTADAS POR EL HURACÁN MITCH EN EL VIEJO (CHINANDEGA),Cooperación al Desarrollo,Nicaragua,1999,"65.891,36"
PAZ Y TERCER MUNDO,INCORPORACIÓN ACTIVA DE LA MUJER AL DESARROLLO DE SU COMUNIDAD EN ZONAS AFECTADAS POR EL HURACÁN MITCH,Cooperación al Desarrollo,Honduras,1999,"96.762,95"
PAZ Y TERCER MUNDO,APOYO A LA POBLACIÓN DE POR CICULTURA TROPICAL,Cooperación al Desarrollo,Cuba,1999,"51.519,96"
FUNDACIÓN DE ARTISTAS E INTELECTUALES PUEBLOS INDÍGENAS IBEROAMÉRICA,EDUCACIÓN SANITARIA APARTERA SI NDÍGENAS Y OTRAS MUJERES SOCIAS DE LAOMIECH,Cooperación al Desarrollo,México,1999,"19.736,41"
ASOCIACIÓNJUVENILMADRESELVA,CONSTRUCCIÓN DE UNA ESCUELA PRIMARIA EN KASENGA,Cooperación al Desarrollo,Congo,1999,"102.962,57"
ESPAÑA CON ACNUR,ASISTENCIA A RETORNADOS LIBERIANOS.CONSTRUCCIÓN Y REHABILITACIÓN DE ESCUELAS,Cooperación al Desarrollo,Liberia,1999,"182.717,78"
ASOCIACION MENSAJEROS DE LA PAZ,PROGRAMA COMUNITARIO PARA LA MEJORA DE LAS CONDICIONES HIDROSANITARIASY LA EDUCACIÓN SANITARIA EN LAS ESCUELAS DEL DISTRITO DE KABALE.,Cooperación al Desarrollo,Uganda,1999,"115.882,99"
ASOCIACION MENSAJEROS DE LA PAZ,CENTRO DE DÍA EN LIMA PARA LA ATENCIÓN DE MENORES Y SUS FAMILIAS EN GRAVE SITUACIÓN ECONÓMICA Y SOCIOCULTURAL,Cooperación al Desarrollo,Perú,1999,"54.534,05"
ACSUR (ASOCIACIÓN PARA LA COOPERACIÓN CON ACSUR LAS SEGOVIAS),RECONSTRUCCIÓN DE LOS  DAÑOS OCASIONADOS POR EL HURACÁN MITCH EN LAS COMUNIDADES DEORICA Y EL PORVENIR,Cooperación al Desarrollo,Honduras,1999,"261.234,12"
ENTRE CULTURAS - FE Y ALEGRIA,"PROGRAMA DE DERECHOS HUMANOS,DEMOCRACIA Y PAZEN EL ÁMBITO EDUCATIVO",Cooperación al Desarrollo,Perú,1999,"177.483,68"
ENTRE CULTURAS - FE Y ALEGRIA,PROPUESTA EDUCATIVA EN LOS NIVELES PREESCOLAR Y PRIMARIA PARA POBLACIÓN RURAL SUBURBANA DEL EJE CORDILLERANO DE BOLIVIA,Cooperación al Desarrollo,Bolivia,1999,"160.807,40"
FUNDACION BENEFICA DEL VALLE,TALLERES LABORALES DE FORMACIÓN INTERCULTURAL EN MAZAMARI,Cooperación al Desarrollo,Perú,1999,"94.016,50"
INGENIERIA SIN FRONTERAS-ASOCIACION PARA EL DESARROLLO,ESTABLECIMIENTODE40PLANTACIONESDEPLÁTANODERIEGOENELMUNICIPIODETOLA,Cooperación al Desarrollo,Nicaragua,1999,"93.607,64"
FUNDACION HUMANISMO Y DEMOCRACIA,CONSTRUCCIÓN DE 100 VIVIENDAS EN PALMEREJO Y LASEYBA,Cooperación al Desarrollo,República Dominicana,1999,"346.415,52"
"AESCO. AMÉRICA, ESPAÑA, SOLIDARIDAD Y COOPERACIÓN",CREACIÓNDEUNALAVANDERÍAPARALAGENERACIÓNDEINGRESOSYPROMOCIÓNDELAECONOMÍADELOSJÓVENESDELHOGARBRIZNASDEVIDA,Cooperación al Desarrollo,Colombia,1999,"45.938,52"
CIDEAL,DESARROLLO HUMANO INTEGRAL AUTOSOSTENIBLE DE QUEZALGUAQUE.,Cooperación al Desarrollo,Nicaragua,1999,"160.828,25"
CIDEAL,DESARROLLO DEL SECTOR PRODUCTIVO MICROEMPRESARIAL EN EL BARRIO MARGINADO DE LOS MINANORTE,Cooperación al Desarrollo,República Dominicana,1999,"135.568,50"
"MPDL - MOVIMIENTO POR LA PAZ, EL DESARME Y LA LIBERTAD",CAPACITACIÓN EN MAQUINARIA AGRÍCOLA PARAJ ÓVENES AGRICULTORES,Cooperación al Desarrollo,Bolivia,1999,"104.711,69"
ASAMBLEA DE MADRID DE CRUZ ROJA ESPAÑOLA,ATENCIÓNSOCIALAHUÉRFANOSDELGENOCIDIODEKIGOMA(GUITARAMA),Cooperación al Desarrollo,Ruanda,1999,"94.652,19"
ASAMBLEA DE MADRID DE CRUZ ROJA ESPAÑOLA,MEJORADELAASISTENCIASANITARIAYCAPACITACIÓNDESOCORRISMOBÁSICO,Cooperación al Desarrollo,Guatemala,1999,"217.374,06"
NUEVOS CAMINOS. NOUS CAMINS,PROGRAMA EDUCATIVO PARA LA MEJORA DE LAS ACTIVIDADES PESQUERAS EN EL LAGO TURKANA,Cooperación al Desarrollo,Kenia,1999,"24.725,64"
FUNDACION CANOVAS DEL CASTILLO,SANEAMIENTOMEDIOAMBIENTALYRECICLAJEDERESIDUOS,Cooperación al Desarrollo,República Dominicana,1999,"164.160,36"
FUNDACIÓN JUAN CIUDAD,DESARROLLODELASALUDMENTALYLAPSIQUIATRÍAINFANTILENELDEPARTAMENTODELAPAZENBOLIVIA,Cooperación al Desarrollo,Bolivia,1999,"126.212,54"
SODEPAZ. SOLIDARIDAD PARA EL DESARROLLO Y LA PAZ,USODEENERGÍASALTERNATIVASENCENTROSESCOLARESYCONSULTORIOSMÉDICOSDELAPROVINCIADESANTIAGODECUBA,Cooperación al Desarrollo,Cuba,1999,"122.900,97"
